timestamp,username,total_commits,avg_commits_per_week,lines_added,lines_deleted,net_lines,prs_created,prs_merged,avg_pr_turnaround_hours,review_comments,prs_reviewed,active_repos_count,active_repos,analysis_period_weeks,start_date,end_date
2025-09-05T09:58:26.709743+00:00,pa000-simreka,412,34.33,471718,72528,399190,3,3,0.02,2,174,7,"base-backend, base-frontend, demo-backend, demo-frontend, git-kt, nile-backend, nile-frontend",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,kp000-simreka,210,17.50,395469,353480,41989,66,63,0.08,0,26,3,"Project-Bheeshma, Tigris-BE, caseStudyPdfGenerator",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,km000-simreka,185,15.42,4148432,286124,3862308,2,2,0.15,0,0,1,Tigris-FE,12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,sjg000-simreka,126,10.50,46574,35923,10651,55,53,26.99,0,0,5,"base-backend, base-frontend, demo-backend, demo-frontend, nile-frontend",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,akash000-simreka,107,8.92,46074,32768,13306,25,24,7.68,0,1,2,"base-backend, base-frontend",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,sen-000-sim,89,7.42,54643,44910,9733,33,25,23.02,0,0,2,"base-backend, base-frontend",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,dee-000-sim,86,7.17,35538,3241,32297,68,66,4.72,0,0,8,"base-backend, base-frontend, caseStudyPdfGenerator, demo-backend, demo-frontend, nile-backend, nile-frontend, pdf-exploration",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,j000-simreka,83,6.92,38215,3690,34525,0,0,0.00,0,42,10,"base-backend, base-frontend, caseStudyPdfGenerator, demo-backend, demo-frontend, ml_service_calc_demo, nile-backend, nile-frontend, pdf-exploration, process-simulation-service",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,pr000-simreka,79,6.58,85812,5170,80642,3,3,0.05,0,0,2,"Project-Bheeshma, Tigris-BE",12,2025-06-13,2025-09-05
2025-09-05T09:58:26.709743+00:00,sg000-simreka,73,6.08,84515,69893,14622,6,6,15.60,0,1,1,Project-Bheeshma,12,2025-06-13,2025-09-05
